Column1;Column2;Column3;Column4
czywiesz1;kto u¿ywa³ no¿a bojowego M3?;13/bf/db/f9/78/52/c3/36/44/f8/f1/f2/d5/a9/56/55/wikiN_243__380_#bojowy#M3/wikiN_243__380_#bojowy#M3.xml;wikiN_243__380_#bojowy#M3
czywiesz2;jaki los spotka³ sosnê Sosienkê z Brzezia, dzielnicy Raciborza?;6e/16/19/da/e5/10/32/14/a4/72/cb/88/fb/4e/49/25/wikiSosienka/wikiSosienka.xml;wikiSosienka
czywiesz3;ile kontenerów w ci¹gu roku prze³adowuje siê w porcie Keelung na Tajwanie?;62/c2/5b/12/3a/59/f5/c5/37/05/74/f4/bc/2b/04/16/wikiPort#Keelung/wikiPort#Keelung.xml;wikiPort#Keelung
czywiesz4;jak zakoñczy³a siê pierwsza bitwa morska wojny koreañskiej?;8b/a9/83/0f/bd/dd/cb/74/6d/d7/53/71/80/d3/52/75/wikiBitwa#pod#Pusanem/wikiBitwa#pod#Pusanem.xml;wikiBitwa#pod#Pusanem
czywiesz5;w jaki sposób zasilane s¹ ³aziki s³u¿¹ce do badania planet i ich ksiê¿yców?;74/24/46/f7/ca/5b/01/ae/4c/f4/0b/39/b0/e1/bc/bf/wiki_321_azik#_40_badania#kosmosu_41_/wiki_321_azik#_40_badania#kosmosu_41_.xml;wiki_321_azik#_40_badania#kosmosu_41_
czywiesz6;czy Cyryl Lukaris sympatyzowa³ z kalwinizmem?;d5/67/f9/97/ff/d6/79/22/84/4f/5e/4d/e2/10/c9/8e/wikiCyryl#Lukaris/wikiCyryl#Lukaris.xml;wikiCyryl#Lukaris
czywiesz7;kto stworzy³ pierwsze graficzne przedstawienie centrum dzisiejszych Katowic?;4b/a6/95/b0/fd/0d/b5/fc/a6/33/53/16/14/41/e7/a6/wikiErnest#Knippel/wikiErnest#Knippel.xml;wikiErnest#Knippel
czywiesz8;jakie implikacje dla potencjalnego ¿ycia pozaziemskiego ma bakteria GFAJ-1?;13/83/8b/14/41/0d/c4/98/0e/98/ad/ff/d7/ae/ed/9a/wikiGFAJ_45_1/wikiGFAJ_45_1.xml;wikiGFAJ_45_1
czywiesz9;co sta³o siê przyczyn¹ zamieszek w Grodzisku Dolnym w 1933?;9d/6b/37/77/5f/d7/97/b1/fe/98/85/c3/d1/41/24/db/wikiZamieszki#w#Grodzisku#Dolnym/wikiZamieszki#w#Grodzisku#Dolnym.xml;wikiZamieszki#w#Grodzisku#Dolnym
czywiesz10;¿o³nierze z ilu krajów s¹ pochowani na cmentarzu wojennym nr 304?;7b/5a/a5/bf/02/8f/46/ff/19/54/ed/a0/f5/40/16/8a/wikiCmentarz#wojenny#nr#304#_45_#_321__261_kta#G_243_rna/wikiCmentarz#wojenny#nr#304#_45_#_321__261_kta#G_243_rna.xml;wikiCmentarz#wojenny#nr#304#_45_#_321__261_kta#G_243_rna
czywiesz11;czym poza malarstwem zajmowa³ siê Edward William Cooke?;aa/9e/ac/1c/4c/a3/95/65/e1/aa/88/10/d0/9c/2d/fb/wikiEdward#William#Cooke/wikiEdward#William#Cooke.xml;wikiEdward#William#Cooke
czywiesz12;na czym polega niejednoznacznoœæ daty niepodleg³oœci Australii?;86/ed/3f/84/9b/ac/39/4d/fe/83/6e/ec/c9/6b/68/03/wikiNiepodleg_322_o_347__263_#Australii/wikiNiepodleg_322_o_347__263_#Australii.xml;wikiNiepodleg_322_o_347__263_#Australii
czywiesz13;jakie zwierzê, wystêpuj¹ce na terenie œrodkowo-zachodniej Argentyny, z przyjemnoœci¹ zjada s³onoroœla?;10/21/b9/08/24/9f/a3/6b/23/f8/bf/d9/8b/7c/2d/3b/wikiTympanoctomys#barrerae/wikiTympanoctomys#barrerae.xml;wikiTympanoctomys#barrerae
czywiesz14;do czego s³u¿y barda górnicza?;96/21/ca/bf/ea/15/af/fe/86/72/fb/f2/17/dc/2b/56/wikiBarda#g_243_rnicza/wikiBarda#g_243_rnicza.xml;wikiBarda#g_243_rnicza
czywiesz15;co opisuj¹ prawa psychofizyczne w olfaktometrii?;e1/09/a3/80/81/17/5d/df/d6/b7/59/ca/a5/d8/35/c9/wikiPrawa#psychofizyczne#w#olfaktometrii/wikiPrawa#psychofizyczne#w#olfaktometrii.xml;wikiPrawa#psychofizyczne#w#olfaktometrii
czywiesz16;dlaczego Bj?rn Lomborg sprzeciwia³ siê Protoko³owi z Kioto?;9a/85/ee/f7/26/51/04/b9/be/ac/12/01/45/92/b2/e0/wikiBj_248_rn#Lomborg/wikiBj_248_rn#Lomborg.xml;wikiBj_248_rn#Lomborg
czywiesz17;kiedy w Polsce powsta³ przemys³ terenowy?;47/db/1a/dc/a0/cd/a2/0d/28/83/05/29/f7/f3/7f/f9/wikiPrzemys_322_#terenowy/wikiPrzemys_322_#terenowy.xml;wikiPrzemys_322_#terenowy
czywiesz18;jak nazywa³ siê okrêt, z którego pok³adu Juan de la Cierva wzbi³ siê do lotu wiatrakowcem?;51/55/b5/bd/e3/8a/fd/dd/73/59/bc/90/00/96/94/38/wikiD_233_dalo#_40_1922_41_/wikiD_233_dalo#_40_1922_41_.xml;wikiD_233_dalo#_40_1922_41_
czywiesz19;czym charakteryzuje siê schizofrenia paranoidalna?;6f/a2/d3/4c/99/47/96/b2/8b/3a/46/6e/a2/88/ac/86/wikiSchizofrenia#paranoidalna/wikiSchizofrenia#paranoidalna.xml;wikiSchizofrenia#paranoidalna
czywiesz20;jak Carey Mulligan otrzyma³a swoj¹ pierwsz¹ rolê filmow¹?;fb/99/13/37/94/cf/48/7b/7a/8c/25/10/0f/43/c8/c0/wikiCarey#Mulligan/wikiCarey#Mulligan.xml;wikiCarey#Mulligan
czywiesz21;kim byli szpiedzy atomowi?;8b/bd/52/20/3e/a5/2d/9d/3e/79/41/36/bb/97/a4/75/wikiSzpiedzy#atomowi/wikiSzpiedzy#atomowi.xml;wikiSzpiedzy#atomowi
czywiesz22;jakie osobliwoœci przyrodnicze mo¿na spotkaæ w parku Zamkowym w Raciborzu?;d9/d9/16/44/bd/a7/55/0f/ff/02/6d/eb/7d/3e/cf/8a/wikiPark#Zamkowy#w#Raciborzu/wikiPark#Zamkowy#w#Raciborzu.xml;wikiPark#Zamkowy#w#Raciborzu
czywiesz23;co ³¹czy Jamesa Bonda z tajnym oddzia³em komandosów z czasów II wojny œwiatowej?;1a/4b/89/67/a0/ca/d6/6c/44/53/ce/f1/a9/ae/71/52/wiki30#Commando/wiki30#Commando.xml;wiki30#Commando
